race_date,time,venue,race_no,race_no_num,candidate_source,rating,selection,base_ai_score,base_ai_rating,base_ai_selection,base_reason_text,final_ai_score,final_ai_rating,final_ai_selection,final_rank,latest_reason_text,latest_updated_at,exhibition,exhibition_rank,weather,wind_speed,wave_height,wind_type,wind_dir,water_state_score,ai_lane_score_text,class_history_text,player_names_text,player_stat_text,player_reason_text,result_trifecta_text,result_trifecta_payout,result_exacta_text,result_exacta_payout,result_trio_text,result_trio_payout,settled_flag,settled_at,result_source_url,imported_at,purchased,purchased_selection_text,amount,hit,payout,memo,bet_type,series_day,race_phase,base_raw_score,base_raw_label,base_raw_reason_text,base_updated_at,day_trend_text,day_trend_sample
2026-04-24,08:32,唐津,1R,1,official_all,★★☆☆☆,1-3-2 / 1-2-3 / 1-3-6 / 1-2-6 / 1-6-3 / 1-6-2,0.73,AI★★☆☆☆,6-1-3 / 6-1-5 / 6-1-4 / 6-1-2 / 6-3-1 / 6-3-5,base危険 / 選手力上位 / 当地巧者,0.69,AI★☆☆☆☆,1-3-4 / 3-1-4 / 1-4-3 / 4-3-5 / 2-3-4 / 6-1-3,見送り寄り,"公式低評価AI検証 / 朝:base危険 / 選手力上位 / 当地巧者 / base危険で買い上げ抑制 / 直前:気象荒れ気味 / 風向東 / 風速8m / 波高8cm / 足:ST気配あり / 部品交換:6 / 足:1号艇足色良さげ / 整備:チルト:1:-0.5,2:0,3:0,4:-0.5,5:-0.5,6:0 / 部品交換:6:ピストン,リング / 直前差中で少し動かす / 隊形:1逃げ本線 / 3攻め注意 / 開催:2日目でやや本命寄り",2026-04-24 23:48:25 JST,"[""6.90"", ""6.92"", ""6.83"", ""6.85"", ""6.83"", ""6.86""]",1:5 / 2:6 / 3:1 / 4:3 / 5:1 / 6:4,晴,8.0,8.0,,東,-0.36,1:0.03 / 2:-0.12 / 3:0.13 / 4:0.17 / 5:-0.07 / 6:-0.03,1:A2 / A2 / A2 / A2 / 2:B1 / B1 / B1 / B1 / 3:B1 / A2 / A2 / A2 / 4:B1 / B1 / B1 / B1 / 5:B1 / B1 / B1 / B1 / 6:B1 / B1 / A2 / A2,1:田川大貴 / 2:塩崎優司 / 3:大庭元明 / 4:早川尚人 / 5:東 潤樹 / 6:牧山敦也,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ / 3:-勝率|+当地|-モータ|-近況|+級別 / 4:-勝率|+当地|-モータ|-近況 / 5:+当地|-モータ|-近況 / 6:+当地|-モータ,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ / 3:-勝率|+当地|-モータ|-近況|+級別 / 4:-勝率|+当地|-モータ|-近況 / 5:+当地|-モータ|-近況 / 6:+当地|-モータ,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,2,,0.34,base素材危険,base素材危険 / 選手力上位 / 当地巧者,2026-04-24 23:28:20 JST,,0
2026-04-24,08:40,徳山,1R,1,official_all,★★★★☆,1-2-4 / 1-4-2 / 1-2-5 / 1-4-5 / 1-5-2 / 1-5-4,1.31,AI★★★☆☆,1-5-4 / 1-5-3 / 1-5-2 / 1-5-6 / 1-4-5 / 1-4-3,base土台○ / 当地巧者 / 級別傾向強い / 1号艇有利,1.35,AI★★☆☆☆,1-5-4 / 6-1-4 / 1-5-6 / 4-6-1 / 3-6-1 / 1-4-5,様子見,"朝:base土台○ / 当地巧者 / 級別傾向強い / 1号艇有利 / base土台をやや保持 / 直前:展示差ややあり / 展示タイム差を確認 / 風向北 / 足:足差ややあり / 展示F:1,4,5注意 / 部品交換:5,6 / 足:6号艇足色良さげ / 整備:チルト:1:0,2:0,3:0,4:-0.5,5:0,6:0 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差小で朝寄り / 朝評価をやや優先 / 隊形:1逃げ本線 / 6一撃注意",2026-04-24 23:48:25 JST,"[""6.95"", ""7.08"", ""7.04"", ""6.97"", ""6.98"", ""7.02""]",1:1 / 2:6 / 3:5 / 4:2 / 5:3 / 6:4,曇,4.0,4.0,,北,0.0,1:0.20 / 2:-0.31 / 3:-0.05 / 4:0.06 / 5:-0.03 / 6:0.13,1:A2 / A2 / A2 / A2 / 2:B1 / B1 / B1 / B1 / 3:B1 / B1 / B1 / B1 / 4:B1 / B1 / B1 / B1 / 5:B1 / B1 / B1 / B1 / 6:B2 / B2,1:坂本雄紀 / 2:松田憲幸 / 3:北川敏弘 / 4:坂口貴彦 / 5:半田尚也 / 6:吉川颯汰,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ / 3:-勝率|+当地|-モータ|-近況 / 4:-勝率|+当地|-モータ|-近況 / 5:+当地|-モータ / 6:+当地|-モータ|-級別,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ / 3:-勝率|+当地|-モータ|-近況 / 4:-勝率|+当地|-モータ|-近況 / 5:+当地|-モータ / 6:+当地|-モータ|-級別,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,4,,-0.4,base素材危険,base素材危険 / 当地巧者 / 級別傾向強い / 1号艇有利,2026-04-24 23:28:20 JST,,0
2026-04-24,08:48,鳴門,1R,1,official_all,★★★☆☆,1-2-5 / 1-5-2 / 1-2-6 / 1-5-6 / 1-6-2 / 1-6-5,1.93,AI★★★★☆,2-6-5 / 2-6-4 / 2-6-3 / 2-6-1 / 2-5-6 / 2-5-4,base土台○ / 当地巧者 / 級別傾向強い / インやや強め,2.0,AI★★★☆☆,1-2-6 / 2-6-5 / 1-2-5 / 5-1-6 / 3-1-6 / 2-6-1,様子見,"公式低評価AI検証 / 朝:base土台○ / 当地巧者 / 級別傾向強い / インやや強め / base土台をやや保持 / 直前:展示差ややあり / 展示タイム差を確認 / 足:ST気配あり / 部品交換:5,6 / 足:1号艇足色良さげ / 整備:チルト:1:-0.5,2:0,3:0,4:0,5:0,6:0 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差中で少し動かす / 隊形:1逃げ本線",2026-04-24 23:48:26 JST,"[""6.90"", ""6.84"", ""6.91"", ""6.94"", ""6.84"", ""6.83""]",1:4 / 2:2 / 3:5 / 4:6 / 5:2 / 6:1,曇,3.0,3.0,,,0.0,1:0.24 / 2:0.03 / 3:-0.16 / 4:-0.20 / 5:0.05 / 6:0.05,1:B1 / B1 / B1 / B1 / 2:A2 / A2 / A1 / A2 / 3:B1 / B1 / B1 / B1 / 4:B1 / B1 / B1 / B1 / 5:B1 / B1 / B1 / B1 / 6:B1 / B1 / B1 / B1,1:岡谷健吾 / 2:黒柳浩孝 / 3:池上隆行 / 4:吉岡 誠 / 5:近藤稔也 / 6:大井清貴,1:-勝率|+当地|-モータ / 2:-勝率|+当地|-モータ|+級別 / 3:-勝率|+当地|-モータ|-近況 / 4:-勝率|+当地|-モータ|-近況 / 5:+当地|-モータ|-近況 / 6:+当地|-モータ,1:-勝率|+当地|-モータ / 2:-勝率|+当地|-モータ|+級別 / 3:-勝率|+当地|-モータ|-近況 / 4:-勝率|+当地|-モータ|-近況 / 5:+当地|-モータ|-近況 / 6:+当地|-モータ,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,3,,0.44,base素材危険,base素材危険 / 当地巧者 / 級別傾向強い,2026-04-24 23:28:20 JST,,0
2026-04-24,08:58,唐津,2R,2,official_all,★☆☆☆☆,2-1-3 / 2-3-1 / 2-1-4 / 2-3-4 / 2-4-1 / 2-4-3,0.59,AI★★☆☆☆,1-3-6 / 1-3-5 / 1-3-4 / 1-3-2 / 1-6-3 / 1-6-5,base土台○ / 当地巧者 / 級別傾向強い / 1号艇有利,0.68,AI★☆☆☆☆,6-2-5 / 2-6-5 / 6-2-3 / 3-6-2 / 1-6-3 / 1-3-6,見送り寄り,"公式低評価AI検証 / 朝:base土台○ / 当地巧者 / 級別傾向強い / 1号艇有利 / base土台をやや保持 / 直前:展示差あり / 展示タイム差を確認 / 進入:1-2-3-6-4-5 / 前づけで波乱含み / 気象荒れ気味 / 波高6cm / 足:足差あり / 展示F:4,5注意 / 足:ST気配あり / 足:進入変化 / 整備:チルト:1:0,2:0,3:0,4:-0.5,5:0,6:-0.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 進入変化ありで直前重視 / 隊形:6一撃注意 / 進入:1-2-3-6-4-5 / 開催:2日目でやや本命寄り",2026-04-24 23:48:26 JST,"[""6.93"", ""6.72"", ""6.82"", ""6.86"", ""6.81"", ""6.92""]",1:6 / 2:1 / 3:3 / 4:4 / 5:2 / 6:5,曇,6.0,6.0,,,-0.2,1:-0.43 / 2:0.27 / 3:-0.07 / 4:-0.21 / 5:-0.10 / 6:0.18,1:A2 / A2 / A2 / A2 / 2:B1 / B1 / B1 / B1 / 3:A2 / A2 / A2 / B1 / 4:B1 / B1 / B1 / B1 / 5:B1 / B1 / B1 / B1 / 6:B1 / B1 / B1 / B1,1:三浦洋次 / 2:富田恕生 / 3:蒲原健太 / 4:佐竹友樹 / 5:村岡 賢 / 6:藤井 徹,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ|-コース / 3:-勝率|+当地|-モータ|-コース|-近況|+級別 / 4:-勝率|+当地|-モータ|-コース|-近況 / 5:+当地|-モータ|-コース|-近況 / 6:+当地|-モータ|-コース|-近況,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ|-コース / 3:-勝率|+当地|-モータ|-コース|-近況|+級別 / 4:-勝率|+当地|-モータ|-コース|-近況 / 5:+当地|-モータ|-コース|-近況 / 6:+当地|-モータ|-コース|-近況,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,2,,0.14,base素材危険,base素材危険 / 当地巧者 / 級別傾向強い / 1号艇有利,2026-04-24 23:28:20 JST,,0
2026-04-24,09:06,徳山,2R,2,official_all,★★★★☆,4-3-1 / 4-1-3 / 4-3-5 / 4-1-5 / 4-5-3 / 4-5-1,0.9,AI★★☆☆☆,4-5-1 / 4-5-3 / 4-5-2 / 4-5-6 / 4-1-5 / 4-1-3,base危険 / 当地巧者 / 中枠攻め候補,1.01,AI★★☆☆☆,1-3-6 / 3-1-6 / 3-1-2 / 2-3-1 / 6-3-1 / 4-5-1,様子見,"朝:base危険 / 当地巧者 / 中枠攻め候補 / base危険で買い上げ抑制 / 直前:気象安定 / 足:ST気配あり / 部品交換:2 / 足:3号艇足色良さげ / 整備:チルト:1:0,2:0,3:0,4:0.5,5:0,6:0 / 部品交換:2:リング / 直前差小で朝寄り / 隊形:3攻め注意 / 1逃げ本線",2026-04-24 23:48:26 JST,"[""6.96"", ""6.98"", ""6.97"", ""6.95"", ""7.01"", ""7.00""]",1:2 / 2:4 / 3:3 / 4:1 / 5:6 / 6:5,曇,1.0,1.0,,,0.1,1:0.12 / 2:-0.02 / 3:0.28 / 4:-0.06 / 5:-0.03 / 6:0.02,1:A2 / B1 / B1 / B1 / 2:B1 / B1 / B1 / B1 / 3:B1 / B1 / B1 / B1 / 4:A2 / A2 / B2 / A2 / 5:B1 / B1 / B1 / B1 / 6:B2 / B2 / B2,1:藤森陸斗 / 2:細川明人 / 3:加木 郁 / 4:奈須啓太 / 5:金子貴志 / 6:小柳勝希,1:-勝率|+当地|-モータ|-コース|+級別 / 2:-勝率|+当地|-モータ|-コース / 3:-勝率|+当地|-モータ|-コース|-近況 / 4:-勝率|+当地|-モータ|-コース|-近況|+級別 / 5:+当地|-モータ|-コース / 6:+当地|-モータ|-コース|+近況|-級別,1:-勝率|+当地|-モータ|-コース|+級別 / 2:-勝率|+当地|-モータ|-コース / 3:-勝率|+当地|-モータ|-コース|-近況 / 4:-勝率|+当地|-モータ|-コース|-近況|+級別 / 5:+当地|-モータ|-コース / 6:+当地|-モータ|-コース|+近況|-級別,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,4,,-0.69,base素材危険,base素材危険 / 当地巧者 / 中枠攻め候補,2026-04-24 23:28:20 JST,,0
2026-04-24,09:14,鳴門,2R,2,official_all,★★★★★,5-1-2 / 5-2-1 / 5-1-4 / 5-2-4 / 5-4-1 / 5-4-2,9.05,AI★★★★★,5-2-4 / 5-2-1 / 5-2-6 / 5-2-3 / 5-4-2 / 5-4-1,base土台○ / 地力上位 / 当地巧者 / 級別傾向強い / インやや強め,9.16,AI★★★★★,1-2-4 / 2-1-4 / 1-2-5 / 4-2-5 / 5-2-4 / 5-2-1,買い強め,"朝:base土台○ / 地力上位 / 当地巧者 / 級別傾向強い / インやや強め / base土台をやや保持 / 直前:展示差あり / 展示タイム差を確認 / 気象安定 / 足:足差ややあり / 足:ST気配あり / 部品交換:5,6 / 足:6号艇足色良さげ / 整備:チルト:1:0,2:0,3:-0.5,4:0,5:0,6:-0.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差中で少し動かす / 隊形:1逃げ本線",2026-04-24 23:48:26 JST,"[""6.87"", ""6.83"", ""6.97"", ""6.85"", ""6.86"", ""6.99""]",1:4 / 2:1 / 3:5 / 4:2 / 5:3 / 6:6,曇,2.0,2.0,,,0.08,1:0.06 / 2:0.08 / 3:-0.10 / 4:0.06 / 5:-0.04 / 6:-0.13,1:A2 / B1 / B1 / B1 / 2:A2 / A2 / A2 / B1 / 3:B2 / B1 / B1 / B1 / 4:B1 / B1 / A2 / B1 / 5:A1 / A1 / A1 / A1 / 6:B1 / B2 / B2 / B2,1:廣瀬 凜 / 2:廣瀬将亨 / 3:上瀧絢也 / 4:中井俊祐 / 5:土屋智則 / 6:小林甘寧,1:-勝率|+当地|-モータ|-コース|+級別 / 2:-勝率|+当地|-モータ|-コース|+級別 / 3:-勝率|+当地|-モータ|-ST|-コース|-近況 / 4:-勝率|+当地|-モータ|-コース|-近況 / 5:+勝率|+当地|-モータ|-コース|-近況|+級別 / 6:+当地|-モータ|-コース|-級別,1:-勝率|+当地|-モータ|-コース|+級別 / 2:-勝率|+当地|-モータ|-コース|+級別 / 3:-勝率|+当地|-モータ|-ST|-コース|-近況 / 4:-勝率|+当地|-モータ|-コース|-近況 / 5:+勝率|+当地|-モータ|-コース|-近況|+級別 / 6:+当地|-モータ|-コース|-級別,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,3,,4.59,base素材○,base素材○ / 地力上位 / 当地巧者 / 級別傾向強い,2026-04-24 23:28:20 JST,,0
2026-04-24,09:24,唐津,3R,3,official_all,★★★★☆,4-1-5 / 4-5-1 / 4-1-2 / 4-5-2 / 4-2-1 / 4-2-5,6.85,AI★★★★★,1-4-6 / 1-4-5 / 1-4-2 / 1-4-3 / 1-6-4 / 1-6-5,base土台◎ / 当地巧者 / 級別傾向強い / 1号艇有利 / 攻めやや注意,6.85,AI★★★★★,1-4-6 / 2-5-6 / 5-2-6 / 4-2-6 / 1-4-2 / 1-4-5,見送り寄り,"朝:base土台◎ / 当地巧者 / 級別傾向強い / 1号艇有利 / 攻めやや注意 / base土台を強めに保持 / 直前:気象荒れ気味 / 波高6cm / 展示F:2,3,6注意 / 部品交換:5 / 足:5号艇足色良さげ / 整備:チルト:1:-0.5,2:-0.5,3:0,4:-0.5,5:-0.5,6:-0.5 / 部品交換:5:ピストン,シリンダ / 直前差小で朝寄り / 朝評価をやや優先 / 隊形:2差し注意 / 開催:2日目でやや本命寄り",2026-04-24 23:48:26 JST,"[""6.90"", ""6.81"", ""6.87"", ""6.86"", ""6.90"", ""6.81""]",1:5 / 2:1 / 3:4 / 4:3 / 5:5 / 6:1,曇,6.0,6.0,,,-0.2,1:-0.13 / 2:0.10 / 3:-0.07 / 4:0.05 / 5:0.04 / 6:0.04,1:A1 / A1 / A1 / A1 / 2:B1 / B2 / B1 / B1 / 3:B2 / B1 / B1 / B1 / 4:A2 / A1 / A2 / A2 / 5:B2 / A2 / B1 / A2 / 6:B1 / B1 / B1 / B1,1:中辻博訓 / 2:高木圭大 / 3:相馬 翔 / 4:榎 幸司 / 5:峰重侑治 / 6:吉武真也,1:-勝率|+当地|-モータ|-コース|+級別 / 2:-勝率|+当地|-モータ|-コース|-級別 / 3:-勝率|+当地|-モータ|-ST|-コース|-近況 / 4:-勝率|+当地|-モータ|-コース|-近況|+級別 / 5:+当地|-モータ|-コース|-近況|-級別 / 6:+当地|-モータ|-コース,1:-勝率|+当地|-モータ|-コース|+級別 / 2:-勝率|+当地|-モータ|-コース|-級別 / 3:-勝率|+当地|-モータ|-ST|-コース|-近況 / 4:-勝率|+当地|-モータ|-コース|-近況|+級別 / 5:+当地|-モータ|-コース|-近況|-級別 / 6:+当地|-モータ|-コース,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,2,,4.35,base素材○,base素材○ / 当地巧者 / 級別傾向強い / 1号艇有利,2026-04-24 23:28:20 JST,,0
2026-04-24,09:32,徳山,3R,3,official_all,★★★★☆,1-5-2 / 1-2-5 / 1-5-3 / 1-2-3 / 1-3-5 / 1-3-2,2.98,AI★★★★★,5-1-3 / 5-1-2 / 5-1-6 / 5-1-4 / 5-3-1 / 5-3-2,base保留 / 当地巧者 / 級別傾向強い,3.04,AI★★★★☆,1-6-2 / 6-1-2 / 1-6-3 / 3-6-1 / 5-1-6 / 5-1-3,様子見,"朝:base保留 / 当地巧者 / 級別傾向強い / base保留で買い上げ慎重 / 直前:足:ST気配あり / 部品交換:5,6 / 足:6号艇足色良さげ / 整備:チルト:1:0,2:0,3:0,4:-0.5,5:0,6:-0.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差中で少し動かす / 隊形:1逃げ本線 / 6一撃注意",2026-04-24 23:48:26 JST,"[""7.00"", ""7.05"", ""7.04"", ""7.03"", ""7.06"", ""7.09""]",1:1 / 2:4 / 3:3 / 4:2 / 5:5 / 6:6,曇,3.0,3.0,,,0.0,1:0.20 / 2:0.00 / 3:0.00 / 4:0.00 / 5:-0.12 / 6:0.11,1:A2 / A2 / A2 / A2 / 2:B1 / B1 / B1 / B1 / 3:B1 / B1 / B1 / B1 / 4:B2 / B2 / B2 / B2 / 5:A2 / A2 / A2 / A2 / 6:B2 / B2 / B1 / B1,1:柘植政浩 / 2:國弘翔平 / 3:香月大介 / 4:庄島潤成 / 5:鳥居塚孝 / 6:島崎丈一,1:-勝率|+当地|-モータ|-コース|+級別 / 2:-勝率|+当地|-モータ|-コース / 3:-勝率|+当地|-モータ|-コース|-近況 / 4:-勝率|+当地|-モータ|-ST|-コース|-近況 / 5:+当地|-モータ|-コース|+級別 / 6:+当地|-モータ|-コース|-級別,1:-勝率|+当地|-モータ|-コース|+級別 / 2:-勝率|+当地|-モータ|-コース / 3:-勝率|+当地|-モータ|-コース|-近況 / 4:-勝率|+当地|-モータ|-ST|-コース|-近況 / 5:+当地|-モータ|-コース|+級別 / 6:+当地|-モータ|-コース|-級別,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,4,,1.04,base素材危険,base素材危険 / 当地巧者 / 級別傾向強い,2026-04-24 23:28:20 JST,,0
2026-04-24,09:40,鳴門,3R,3,official_all,★★★★☆,2-6-3 / 2-3-6 / 2-6-5 / 2-3-5 / 2-5-6 / 2-5-3,0.7,AI★★☆☆☆,3-2-6 / 3-2-5 / 3-2-1 / 3-2-4 / 3-6-2 / 3-6-5,base保留 / 当地巧者 / 級別傾向強い / 中枠攻め候補,0.79,AI★☆☆☆☆,1-2-3 / 3-2-6 / 3-2-1 / 2-3-1 / 6-2-3 / 1-3-2,見送り寄り,"朝:base保留 / 当地巧者 / 級別傾向強い / 中枠攻め候補 / base保留で買い上げ慎重 / 直前:展示差ややあり / 展示タイム差を確認 / 気象安定 / 展示F:5注意 / 部品交換:5 / 足:6号艇足色良さげ / 整備:チルト:1:-0.5,2:-0.5,3:-0.5,4:-0.5,5:0,6:0 / 部品交換:5:電気 / 直前差中で少し動かす / 隊形:3攻め注意 / 1逃げ本線",2026-04-24 23:48:26 JST,"[""6.86"", ""6.82"", ""6.77"", ""6.87"", ""6.86"", ""6.87""]",1:3 / 2:2 / 3:1 / 4:5 / 5:3 / 6:5,曇,2.0,2.0,,,0.08,1:0.05 / 2:0.01 / 3:0.18 / 4:-0.18 / 5:-0.12 / 6:-0.01,1:B1 / B1 / B1 / B1 / 2:A2 / A2 / A2 / A2 / 3:A2 / A2 / A2 / A2 / 4:B2 / B1 / B1 / B1 / 5:B1 / B1 / A2 / A2 / 6:B1 / A2 / B1 / B1,1:森下 勇 / 2:岡瀬正人 / 3:松本博昭 / 4:向井田直 / 5:一柳和孝 / 6:山口広樹,1:-勝率|+当地|-モータ|-コース / 2:-勝率|+当地|-モータ|-コース|+級別 / 3:-勝率|+当地|-モータ|-コース|-近況|+級別 / 4:-勝率|+当地|-モータ|-ST|-コース|-近況 / 5:+当地|-モータ|-コース|-近況 / 6:+当地|-モータ|-コース,1:-勝率|+当地|-モータ|-コース / 2:-勝率|+当地|-モータ|-コース|+級別 / 3:-勝率|+当地|-モータ|-コース|-近況|+級別 / 4:-勝率|+当地|-モータ|-ST|-コース|-近況 / 5:+当地|-モータ|-コース|-近況 / 6:+当地|-モータ|-コース,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,3,,0.48,base素材危険,base素材危険 / 当地巧者 / 級別傾向強い / 中枠攻め候補,2026-04-24 23:28:20 JST,,0
2026-04-24,09:50,唐津,4R,4,official_all,★☆☆☆☆,4-6-3 / 4-3-6 / 4-6-2 / 4-3-2 / 4-2-6 / 4-2-3,6.28,AI★★★★★,2-6-5 / 2-6-4 / 2-6-3 / 2-6-1 / 2-5-6 / 2-5-4,base土台○ / 当地巧者 / 級別傾向強い / 攻めやや注意,6.37,AI★★★★★,1-5-4 / 5-1-4 / 1-4-5 / 4-1-5 / 2-5-4 / 2-6-5,買い強め,"公式低評価AI検証 / 朝:base土台○ / 当地巧者 / 級別傾向強い / 攻めやや注意 / base土台をやや保持 / 直前:展示差あり / 展示タイム差を確認 / 気象荒れ気味 / 波高6cm / 足:足差ややあり / 足:ST気配あり / 部品交換:5,6 / 足:1号艇足色良さげ / 整備:チルト:1:0,2:-0.5,3:0,4:-0.5,5:-0.5,6:-0.5 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差中で少し動かす / 隊形:1逃げ本線 / 5一撃注意 / 開催:2日目でやや本命寄り",2026-04-24 23:48:26 JST,"[""6.75"", ""6.84"", ""6.90"", ""6.79"", ""6.75"", ""6.86""]",1:1 / 2:4 / 3:6 / 4:3 / 5:1 / 6:5,曇,6.0,6.0,,,-0.2,1:0.38 / 2:-0.04 / 3:-0.42 / 4:0.05 / 5:0.15 / 6:-0.15,1:B1 / B1 / B1 / B1 / 2:A1 / A1 / A1 / A1 / 3:B1 / B1 / B2 / A2 / 4:B1 / B1 / B1 / B1 / 5:B1 / B1 / B1 / B1 / 6:A2 / A1 / A2 / A2,1:村上彰一 / 2:白水勝也 / 3:大久保信 / 4:大澤大夢 / 5:重富伸也 / 6:丹下 将,1:-勝率|+当地|-モータ|-コース / 2:-勝率|+当地|-モータ|-コース|+級別 / 3:-勝率|+当地|-モータ|-コース|-近況|-級別 / 4:-勝率|+当地|-モータ|-コース|-近況 / 5:+当地|-モータ|-コース|-近況 / 6:+当地|-モータ|-コース|+級別,1:-勝率|+当地|-モータ|-コース / 2:-勝率|+当地|-モータ|-コース|+級別 / 3:-勝率|+当地|-モータ|-コース|-近況|-級別 / 4:-勝率|+当地|-モータ|-コース|-近況 / 5:+当地|-モータ|-コース|-近況 / 6:+当地|-モータ|-コース|+級別,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,2,,4.62,base素材○,base素材○ / 当地巧者 / 級別傾向強い,2026-04-24 23:28:20 JST,,0
2026-04-24,09:58,徳山,4R,4,official_all,★★☆☆☆,1-2-3 / 1-3-2 / 1-2-5 / 1-3-5 / 1-5-2 / 1-5-3,4.12,AI★★★★★,1-5-6 / 1-5-2 / 1-5-4 / 1-5-3 / 1-6-5 / 1-6-2,base土台◎ / 当地巧者 / 級別傾向強い / 1号艇有利,4.19,AI★★★★☆,1-5-2 / 2-1-5 / 1-5-6 / 4-2-1 / 2-1-6 / 1-5-4,買い,"公式低評価AI検証 / 朝:base土台◎ / 当地巧者 / 級別傾向強い / 1号艇有利 / base土台を強めに保持 / 直前:足:ST気配あり / 部品交換:5,6 / 足:1号艇足色良さげ / 整備:チルト:1:0,2:-0.5,3:-0.5,4:0,5:0,6:0 / 部品交換:5:ピストン,リング,ピストンリング,6:ピストン,リング,ピストンリング,シリンダ,ギヤケース,電気,電気一式,キャブ,キャブレタ,シャフト,クランク / 直前差中で少し動かす / 隊形:1逃げ本線",2026-04-24 23:48:26 JST,"[""7.01"", ""7.04"", ""7.07"", ""7.04"", ""7.06"", ""7.08""]",1:1 / 2:2 / 3:5 / 4:2 / 5:4 / 6:6,曇,4.0,4.0,,,0.0,1:0.35 / 2:0.05 / 3:-0.16 / 4:0.00 / 5:-0.02 / 6:-0.09,1:A1 / A1 / A2 / A2 / 2:A2 / B1 / B1 / B1 / 3:B1 / B1 / B1 / B1 / 4:B1 / B1 / B1 / B1 / 5:B1 / A2 / A2 / B1 / 6:B1 / B1 / B1 / B1,1:田中辰彦 / 2:富永大一 / 3:岡部大輔 / 4:小川日紀 / 5:久田 武 / 6:田中 堅,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ|+級別 / 3:-勝率|+当地|-モータ|-近況 / 4:-勝率|+当地|-モータ|-コース|-近況 / 5:+当地|-モータ|-コース|+級別 / 6:+当地|-モータ|-コース,1:-勝率|+当地|-モータ|+級別 / 2:-勝率|+当地|-モータ|+級別 / 3:-勝率|+当地|-モータ|-近況 / 4:-勝率|+当地|-モータ|-コース|-近況 / 5:+当地|-モータ|-コース|+級別 / 6:+当地|-モータ|-コース,,,,,,,,,,2026-04-24 23:48:26 JST,,,100,,,,3連単,4,,2.1,base素材○,base素材○ / 当地巧者 / 級別傾向強い / 1号艇有利,2026-04-24 23:28:20 JST,,0
